Name;ART;HANDLUNG;REICHWEITE;DAUER;SEITE;Widerstand;Elementarschaden;Erläuterungen
Magischer Schutz;M;Frei;BF;S;SG S. 228;speziell;;MAGISCHER SCHUTZ Art: M Handlung: Frei Reichweite: BF Dauer: Sofort Ein Geist mit dieser Kraft kann – genauso wie ein Zauberer – die Fertigkeit Antimagie einsetzen, für Zauberabwehr sorgen und Zauber bannen (SR5, S. 294). ANTIMAGIE Antimagie bietet dem Zauberer zwei Vorteile: Zauberabwehr und das Bannen von Zaubern. Die Fertigkeit Antimagie funktioniert nicht gegen Geister, Critterkräfte oder Alchemische Erzeugnisse. ZAUBERABWEHR Zauberabwehr wird gegen gegnerische Zauber eingesetzt, die auf den Zauberer selbst oder auf Ziele innerhalb seines Blickfelds (hier gelten dieselben Regeln wie beim Zielen von Zaubern) gewirkt werden, die er mit Zauberabwehr schützen will. Das Ansagen dieses Schutzes erfordert entweder eine Freie Handlung oder – wenn der Zauberer keine Freie Handlung mehr übrig hat – eine Unterbrechungshandlung, die sein Initiativeergebnis sofort um 5 senkt. In jeder Kampfrunde hat der Zauberer einen Würfelpool in Höhe seiner Fertigkeit Antimagie für die Zauberabwehr zur Verfügung. Wenn ein Zauber gewirkt wird, kann er einige oder alle Würfel aus diesem Würfelpool zur Verteidigung dagegen einsetzen. Der Würfelpool sinkt dadurch entsprechend für die jeweilige Kampfrunde. Der Zauberer muss bei jedem Zauberangriff festlegen, wie viele Würfel er für die Verteidigung dagegen nutzen will, und er kann auswählen, wie viele Leute (einschließlich sich selbst) durch die Abwehrwürfel geschützt werden sollen. Er kann gleichzeitig eine Anzahl von Personen gleich seinem Magieattribut schützen. Diese Würfel erhöhen dann bei allen ausgewählten Zielen den Würfelpool für Zauberwiderstandsproben (oder Verteidigungsproben gegen indirekte Kampfzauber). Der Würfelpool für die Zauberabwehr wird zu Beginn jeder Kampfrunde wieder aufgefüllt. Zauberabwehr funktioniert sowohl gegen Spruchzauberei als auch gegen Rituale mit Zauberkomponente und Alchemische Erzeugnisse, bei denen ein Zauber ausgelöst wird.
Materialisierung;M;Komplex;S;A;SR5 S. 398;;;MATERIALISIERUNG Art: M Handlung: Komplex Reichweite: Selbst Dauer: Aufrechterhalten Zauberer und viele Critter können ihren Körper verlassen und sich auf die Astralebene projizieren. Und ebenso können sich viele Astralwesen in die physische Welt projizieren und einen provisorischen „Körper“ bilden, den sie bewohnen, solange sie dort sind. Das ermöglicht es ihnen, mit physischen Lebewesen zu interagieren. Zusätzlich verfügen sie über die Kraft Immunität gegen Normale Waffen, solange sie materialisiert sind. Materialisierung und Entmaterialisierung (um auf die Astralebene zurückzukehren) erfordern jeweils eine Komplexe Handlung
Mimikry;P;Einfach;S;A;SR5 S. 398;MAG+CHA vs. Wahrnehmung;;"MIMIKRY Art: P Handlung: Einfach Reichweite: Selbst Dauer: Aufrechterhalten Mit dieser Kraft kann ein Critter Geräusche exakt imitieren, einschließlich menschlicher Sprache und der Jagdrufe anderer Kreaturen, die er schon einmal gehört hat. Wenn der Critter etwas aus dem Gedächtnis imitiert und nicht vor Kurzem erst gehört hat, so muss er eine Erinnerungsprobe (S. 153) ablegen. Um zu erkennen, dass ein nachgeahmtes Geräusch falsch ist, ist eine Wahrnehmungsprobe erforderlich; als Schwellenwert dieser Probe dient die Anzahl an Erfolgen, die der Critter bei einer Probe auf Charisma + Magie erzielt hat."
Mutagen;P;Komplex;S;A;SG S. 228;;;MUTAGEN Art: P Handlung: Komplex Reichweite: Selbst Dauer: Aufrechterhalten Mit dieser Kraft kann ein Geist seinen physischen Körper auf Kosten seiner geistigen Fähigkeiten stärken. Er kann dabei maximal [Magie] Attributspunkte von Geistigen zu Körperlichen Attributen verschieben. Diese Kraft kann von Besessenheitsgeistern benutzt werden, um Punkte von den Geistigen Attributen des Geistes auf die Körperlichen Attribute des Gefäßes zu verschieben. Das Aktivieren oder Beenden der Kraft erfordert eine Komplexe Handlung. Der Spielleiter kann, statt Attributspunkte zu verschieben, mit dieser Kraft auch neue Körpermerkmale wie Schwänze, Klauen oder zusätzliche Augen erschaffen.
Mystischer Panzer;M;Auto;S;I;SR5 S. 399;;;MYSTISCHER PANZER Art: M Handlung: Auto Reichweite: Selbst Dauer: Immer Diese Kraft funktioniert genauso wie die Kraft Panzer, mit dem Unterschied, dass sie Schutz gegen Angriffe auf der Astralebene gewährt.
Natürliche Waffe;P;Auto;B;S;SR5 S. 399;speziell;;"NATÜRLICHE WAFFE Art: P Handlung: Auto Reichweite: B Dauer: Sofort Klauen. Scharfe, spitze Zähne. Ein kräftiger, stacheliger Schwanz. Welche Form es auch hat, der Critter ist von der Natur mit einem Werkzeug ausgestattet worden, mit dem er anderen Körperlichen Schaden zufügen kann. Die Art des Angriffs sowie sein Schadenscode und ein eventueller DK-Modifikator werden jeweils in der Beschreibung des Critters genauer spezifiziert. Natürliche Waffen können entweder für Nah- oder für Fernkampfangriffe verwendet werden, und es gelten die üblichen Kampfregeln. Ein Critter verwendet die Fertigkeit Waffenloser Kampf für eine natürliche Nahkampfwaffe und die Fertigkeit Exotische Fernkampfwaffe, um mit einer natürlichen Fernkampfwaffe anzugreifen. Die meisten Natürlichen Waffen gelten für die Kraft Immunität gegen Normale Waffen als normal; Ausnahmen werden in der Beschreibung des jeweiligen Critters erwähnt. Ein dualer Critter mit einer Natürlichen Nahkampfwaffe kann diese Kraft gegen astrale Ziele innerhalb seiner Reichweite einsetzen. Dabei werden die Fertigkeit Waffenloser Kampf des Critters und der normale körperliche Schadenscode verwendet. Natürliche Fernkampfwaffen wirken, wie alle Fernkampfangriffe, nicht im Astralraum. Auch Critter ohne die Kraft Natürliche Waffe können waffenlos angreifen. Wie bei metamenschlichen Charakteren beträgt der Schadenscode dabei (STR)G."
Natürlicher Zauberspruch;wie Zauber;Komplex;wie Zauber;wie Zauber;SR5 S. 399;;;NATÜRLICHER ZAUBERSPRUCH Art: wie Zauber Handlung: Komplex Reichweite: wie Zauber Dauer: wie Zauber Diese Kraft gestattet dem Critter, instinktiv einen ganz bestimmten Zauber zu wirken. Um die Kraft effektiv einsetzen zu können, muss der Critter die Fertigkeit Spruchzauberei besitzen. Der Natürliche Zauberspruch funktioniert genauso wie ein normaler Zauber, und ein Zauberer kann ihn auch nach den normalen Regeln mit Antimagie kontern. Natürliche Zaubersprüche verursachen normalen Entzug und einen Würfelpoolmodi kator von -2 für das Aufrechterhalten. Critter und Geister leisten nach Maßgabe des Spielleiters entweder mit Intuition oder mit Charisma Widerstand gegen Entzug.
Natürliches Ritual;wie Ritual;wie Ritual;wie Ritual;wie Ritual;CR S. 196;;;NATÜRLICHES RITUAL Art: wie Ritual Handlung: wie Ritual Reichweite: wie Ritual Dauer: wie Ritual Ein Critter mit dieser Kraft kann instinktiv ein bestimmtes, einzelnes Ritual wirken. Um diese Kraft effektiv einzusetzen, muss der Critter die Fertigkeit Ritualzauberei besitzen. Natürliche Rituale werden aus der Liste an Ritualzaubern ausgewählt, die Magieanwendern zur Verfügung stehen. Sie folgen den Regeln für Entzug, Zusammenarbeit, Reagenzienaufwand und so weiter, die in SR5 ab Seite 294 zu nden sind. Critter und Geister widerstehen dem Entzug nach Maßgabe des Spielleiters entweder mit Intuition oder mit Charisma.
Nebelgestalt;P;Komplex;S;A;SR5 S. 399;;;"NEBELGESTALT Art: P Handlung: Komplex Reichweite: Selbst Dauer: Aufrechterhalten Diese Kraft ermöglicht einem Critter, sich in eine Nebelwolke zu verwandeln. Die Verwandlung und die Rückverwandlung erfordern jeweils eine Komplexe Handlung. Bei der Verwandlung in die Nebelgestalt transformiert der Critter seinen gesamten Körper und alle gebundenen Foki, die er trägt, ob aktiv oder nicht. Die Nebelgestalt hat eine Bewegungsrate von 5 Metern pro Kampfrunde; der Critter kann seine Fortbewegung in dieser Gestalt prinzipiell kontrollieren, ist aber anfällig für starke Winde. Diese können den Nebel in eine bestimmte Richtung zwingen oder zerstreuen, was zur vorübergehenden Desorientierung des Critters führt. Die Nebelgestalt kann durch alle nicht luftdichten Spalten und Risse dringen. Abwehrsysteme gegen Gase, Bakterien oder Viren halten auch einen Critter in Nebelgestalt auf. In seiner Nebelgestalt besitzt der Critter die Kraft Immunität gegen Normale Waffen. Wird er jedoch einer Substanz ausgesetzt, gegen die er allergisch ist, so verwandelt er sich sofort in seine normale Gestalt zurück. In der Nebelgestalt kann der Critter normal wahrnehmen, aber keine seiner anderen Kräfte einsetzen, bis er sich zurückverwandelt hat."
Panzer;P;Auto;S;I;SR5 S. 399;;;PANZER Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Ein Critter mit dieser Kraft besitzt einen angeborenen Schutz (in Form von dermalen Knochenablagerungen, Schuppen oder einfach nur einer sehr dicken Haut) gegen physische Angriffe. Die natürliche Panzerung ist kumulativ zu eventueller getragener Panzerung.
Persönliche Domäne;M;Auto;BF;A;SG S. 239;;;PERSÖNLICHE DOMÄNE (nur freie Giester) Art: M Handlung: Automatisch Reichweite: BF Dauer: Aufrechterhalten Der Geist hinterlässt seinen persönlichen Abdruck auf einem Gebiet im Astralraum, das bis zu [Kraftstufe x 10.000] Quadratmeter groß sein kann. Mit der Zeit entwickelt dieses Gebiet eine Hintergrundstrahlung (S. 30), die auf die Tradition ausgerichtet ist, die der Geist repräsentiert. Der Spielleiter legt fest, wie schnell sich die Hintergrundstrahlung aufbaut, aber der Prozess sollte Monate oder noch länger dauern, und die Hintergrundstrahlung sollte nicht stärker als die (aufgerundete) Hälfte der Kraftstufe des Geistes sein
Pesthauch;M;Komplex;Speziell;S;CR S. 196;KON+WIL+Schutz;;PESTHAUCH Art: M Handlung: Komplex Reichweite: Speziell Dauer: Sofort Der Critter kann ganze Landstriche entvölkern, indem er sich einfach hindurchbewegt. Wenn der Critter diese Kraft einsetzt, wird jedes Lebewesen im Umkreis von [Magieattribut des Critters] Metern von einer magischen Krankheit befallen. Jedes Opfer legt (mit Konstitution + Willenskraft + etwaigen Schutzvorrichtungen und/oder Resistenzen) eine Widerstandsprobe gegen die Krankheit ab. Wenn die Pestilenz nicht bei der Beschreibung des Critters genauer erläutert wird, verwenden Sie die Werte aus dem folgenden Kasten. PESTHAUCH-KRANKHEIT Vektor: Inhalation, Kontakt, Einnahme Geschwindigkeit: 1 Kampfrunde Durchdringung: –(Magieattribut des Critters) Kraft: (Magieattribut des Critters) x 2 Auswirkungen: Körperlicher Schaden, Übelkeit, Lähmung Die Krankheit wirkt einen Tag lang auf das Opfer und ist an andere Lebewesen übertragbar.
Pestilenz;P;Auto;B;S;SG S. 228;KON+WIL+Schutz;;PESTILENZ Art: P Handlung: Automatisch Reichweite: Berührung Dauer: Sofort Der Geist überträgt eine nichtmagische, ansteckende Krankheit, die Charaktere bei Kontakt mit ihm (oder seinen Körperflüssigkeiten) infizieren kann. Behandeln Sie diese Krankheit als Toxin (SR5, S. 410) mit den folgenden Werten: Vektor: Kontakt Geschwindigkeit: 1 Tag Durchdringung: -2 Kraft: 8 Wirkung: Desorientierung, Geistiger Schaden, Übelkeit. Die Krankheitswirkungen halten 1 ganzen Tag lang an. Jeden Tag steigt die Kraft um 2, und der In zierte muss eine neue Toxinwiderstandsprobe ablegen, bis die Kraft des Toxins auf 0 gesunken ist.
Psychokinese;P;Komplex;BF;A;SR5 S. 399;;;PSYCHOKINESE Art: P Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Diese Kraft ermöglicht einem Critter, ein Objekt mittels Geisteskraft zu bewegen. Es entspricht dem Zauberspruch Zauberfinger (S. 290) und fungiert als „magische Hand“ mit einer Stärke und Geschicklichkeit, die jeweils der Anzahl der Erfolge bei einer Probe auf Magie + Willenskraft entsprechen. ZAUBERFINGER (TRANSFORMATION) Art: P Reichweite: BF Dauer: A Entzug: KS – 2 Zauberfinger erzeugt einen psychokinetischen Effekt, der als eine Art „unsichtbare Hand“ Gegenstände halten oder manipulieren kann. Die Erfolge bei der Spruchzaubereiprobe werden zur Stärke und Geschicklichkeit dieser Zauberfinger, wodurch sich das Gewicht der Gegenstände ergibt, die die Zauberfinger heben oder tragen können. Man kann mit Zauberfingern auch Fertigkeiten auf Entfernung einsetzen,
Realistische Gestalt;P;Auto;S;Speziell;SG S. 229;;;REALISTISCHE GESTALT Art: P Handlung: Automatisch Reichweite: Selbst Dauer: Speziell Ein Geist mit dieser Kraft kann als eine normale physische Kreatur oder ein gewöhnlicher Gegenstand durchgehen, wenn er materialisiert, oder sehr unscheinbar sein, wenn er mit einem Gefäß verbunden ist. Ein Geist, der als Metamensch erscheint, hat einen Puls und normale Atmung. Ein Geist, der als Gegenstand erscheint, ahmt dessen normale Funktionen nach. Zum Beispiel könnte ein Toaster an die Steckdose gesteckt werden und etwas toasten (hätte allerdings keine Matrixverbindung, wäre also ein antiker Toaster). Der Geist ist im Astralraum nicht verkleidet, erscheint aber für alle physische Wahrnehmung als normaler Teil der physischen Welt. Geister mit der Kraft Materialisierung besitzen meist nur eine materialisierte Gestalt. Materialisierende Geister mit der Kraft Realistische Gestalt können aber statt in ihrer normalen in ihrer Realistischen Gestalt erscheinen. Ein Feuerelementar kann immer noch als wütende Flammensäule erscheinen, aber auch als wunderschöne Frau.
Regeneration;P;Auto;S;I;SR5 S. 399;;;"REGENERATION Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Diese Kraft ermöglicht die schnelle Heilung von Schäden, die der Critter erlitten hat. Wenn der Critter am Ende einer Kampfrunde Schaden auf einem seiner Zustandsmonitore hat, legt er eine Probe auf Magie + Konstitution ab, addiert seine Konstitution zu den erzielten Erfolgen hinzu und heilt entsprechend viele Schadenskästchen, zuerst vom überschüssigen Körperlichen Schaden, dann vom Körperlichen Schaden und schließlich vom Geistigen Schaden. Wenn der Critter seinen überschüssigen Schaden überschreitet, ist er noch nicht tot; er kann noch eine Regenerationsprobe ablegen. Wenn danach der überschüssige Schaden immer noch die Konstitution übersteigt, ist er wirklich tot. Regeneration kann nicht alles heilen. Schäden am Gehirn oder der Wirbelsäule (etwa bei einem angesagten Schuss in den Kopf) können auf diese Weise nicht geheilt werden. Auch magischer Schaden durch Waffenfoki, Kampfzauber und die meisten Critter- oder Adeptenkräfte kann nicht durch Regeneration beseitigt werden. Wenn der Critter durch etwas Schaden erleidet, gegen das er eine Allergie besitzt, so kann er zwar mit dieser Kraft den Schaden heilen, darf die Regenerationsprobe aber erst ablegen, sobald er nicht mehr in Kontakt mit dem Allergen ist. Regeneration ist im Allgemeinen inkompatibel mit Bodytech. Ein Critter mit dieser Kraft kann – mit Ausnahme von Deltaware – keine Körpermodifikationen erhalten. Ein Critter, der bereits Modifikationen hat, die keine Deltaware sind, und in den Besitz dieser Kraft gerät, stößt seine Implantate ab, sobald die Kraft beginnt, das ursprüngliche genetische Muster des Körpers wiederherzustellen"
Regeneration (freie Geister);P;Auto;S;I;SG S. 239;;;REGENERATION (nur freie Geister) Art: P Handlung: Automatisch Reichweite: Selbst Dauer: Immer Diese Kraft funktioniert wie die gleichnamige Critterkraft (SR5, S. 399) und wirkt nur bei Geistern, die gerade eine der Kräfte Materialisierung, Besessenheit oder Bewohnung einsetzen. Wenn der Geist ein ehemals lebendes Gefäß besitzt oder bewohnt, regeneriert sich dieses langsam, bis es wieder aussieht wie zu Lebzeiten. Eine hölzerne Statue könnte also neue Blätter austreiben, und eine Leiche könnte wieder lebendig wirken.
Reichtum;P;Komplex;BF;Speziell;SG S. 240;;;REICHTUM (große Kraft) Art: P Handlung: Komplex Reichweite: BF Dauer: Speziell Mit dieser Kraft kann der Geist wertvolle Metalle, Edelsteine und andere seltene Gegenstände von großem Wert erschaffen. Wo diese Gegenstände herkommen, hat noch kein Geist gesagt. Einmal im Monat kann der Geist eine Probe auf Magie + Edge ablegen. Jeder Erfolg erzeugt mineralische Reagenzien im Wert von 10.000 Nuyen – meist in Form von Metall oder Edelsteinen. Diese permanenten Erzeugnisse tragen für immer die astrale Signatur des Geistes. Charakteren könnte es deshalb schwerfallen, magische Edelsteine zu verkaufen. Ein Geist kann mit dieser Kraft auch jeden Tag eine gleiche Menge an temporärem Reichtum erschaffen. Beim nächsten Sonnenauf- oder -untergang verschwinden die wertvollen Gegenstände aber oder verwandeln sich in Dreck oder andere wertlose Stoffe. Deshalb kaufen umsichtige Geschäftsleute nur ungern magisches Gold.
Schallentladung;P;Komplex;Speziell;A;SG S. 229;KS*2 vs. WIL;;SCHALLENTLADUNG Art: P Handlung: Komplex Reichweite: Speziell Dauer: Aufrechterhalten Diese Kraft trifft (außer Geistern derselben Art) alle Ziele innerhalb der Hörweite und erzeugt einen ohrenbetäubenden, ablenkenden Lärm. Der Geist legt eine Vergleichende Probe auf Kraftstufe x 2 gegen die Willenskraft jedes Opfers ab. Geräuschdämpfer und Zauber wie Schweigen oder Stille gewähren dem Verteidiger Würfelpoolboni in Höhe ihrer Stufe bzw. der Erfolge bei der Spruchzaubereiprobe. Gewinnt der Geist die Probe, erhalten die Ziele pro Nettoerfolg einen Würfelpoolmalus von -1, solange der Geist die Kraft aufrechterhält.
Schatten;P;Frei;S;A;SG S. 229;;;SCHATTEN Art: P Handlung: Frei Reichweite: Selbst Dauer: Aufrechterhalten Mit dieser Kraft kann sich ein Geist in völlige Dunkelheit hüllen, wodurch er wie ein Schatten erscheint. Die Kraft wirkt nicht in direktem Tageslicht und ist bei völliger Dunkelheit unnötig. In anderen Lichtverhältnissen ist der Geist aber schwerer zu entdecken. Bei normalem Licht erhalten Wahrnehmungsproben, um den Geist zu entdecken, einen Würfelpoolmalus von -2, bei Teilbeleuchtung einen Würfelpoolmalus von -4, bei Blendendem Licht allerdings einen Würfelpoolbonus von +1.
Schmerz;P oder M;Auto;S;I;CR S. 197;;;SCHMERZ Art: P oder M Handlung: Auto Reichweite: Selbst Dauer: Immer Die Angriffe des Critters – ob durch Gift, magisches Feuer oder einfach Mundgeruch – sind besonders schmerzhaft. Wenn der Critter Körperlichen Schaden verursacht, wird die Anzahl der verursachten Schadenskästchen notiert. Bis die gleiche Anzahl an Körperlichen Schadenskästchen geheilt ist, erleidet das Opfer aufgrund der Schmerzen einen verdoppelten Verletzungsmodikator durch Kästchen auf dem Körperlichen und dem Geistigen Zustandsmonitor. Diese Verdoppelung wird berechnet, bevor Schmerzresistenz oder ähnliche Fähigkeiten zum Einsatz kommen
Schutz;P;Komplex;BF;A;SR5 S. 400;;;SCHUTZ Art: P Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Mit dieser Kraft kann ein Critter andere gegen normale Unfälle und Gefahren schützen (sowohl natürliche als auch solche, die durch die Kraft Unfall hervorgerufen werden). Beispielsweise kann er verhindern, dass jemand einen Hitzschlag erleidet oder ertrinkt. Die Kraft kann auch dazu eingesetzt werden, einen Patzer bei einer Probe zu verhindern. Die Kraft kann auf so viele Charaktere gleichzeitig angewendet werden, wie dem Magieattribut des Critters entspricht. Wird diese Kraft von einem gebundenen Geist eingesetzt, zählt jeder verhinderte Unfall oder Patzer als ein Dienst.
Schwarmbewusstsein;M;Auto;Speziell;I;SG S. 229;;;SCHWARMBEWUSSTSEIN Art: M Handlung: Automatisch Reichweite: Speziell Dauer: Immer Alle Insektengeister einer bestimmten Art, die von einem Schamanen, einer Königin oder einer Mutter kontrolliert werden, haben eine permanente telepathische Verbindung untereinander. Sie können damit als Freie Handlung eine telepathische Nachricht an einen oder mehrere Geister oder den Schamanen übermitteln. Schamane, Königin oder Mutter können damit auch mit einer Einfachen Handlung die Sinne eines der Geister des Schwarms benutzen (oder zur Wahrnehmung eines anderen Geistes des Schwarms „umschalten“). Dies funktioniert ähnlich wie die Kraft Sinnesverbindung (S. 229), nur ohne Reichweitenbegrenzung. Das fortwährende Summen der Insektengeister im Bewusstsein eines Insektenschamanen kann, besonders wenn der Schwarm aufgeregt ist, ablenkend wirken. Wenn das der Fall ist, muss der Schamane eine erfolgreiche Probe auf Magie + Willenskraft (2) ablegen, um das Hintergrundsummen zu ignorieren und sich auf etwas zu konzentrieren (zum Beispiel auf das Kämpfen oder Zaubern). Misslingt ihm diese Konzentrationsprobe, erleidet er einen Würfelpoolmodifikator von -2 auf alle Proben.
Schwarmgeist;M;Auto;Speziell;I;CR S. 198;;;SCHWARMGEIST Art: M Handlung: Auto Reichweite: Speziell Dauer: Immer Der Critter kommuniziert mit seinen Artgenossen auf unterbewusster Ebene, als wären sie alle Teil eines Ganzen. Alle Artgenossen mit dieser Kraft haben einen gemeinsamen Geist, können alles wahrnehmen, was ein Angehöriger des Schwarms wahrnimmt, und agieren konzertiert. Eine beliebige Anzahl an Mitgliedern kann Teamworkproben statt gewöhnlicher Proben ablegen, wenn eine Zusammenarbeit möglich ist. Lassen Sie die Mitglieder hier der Einfachheit halber Erfolge kaufen (SR5, S. 47). Die Reichweite dieser Kraft (also die maximale Entfernung eines Critters von seinen Artgenossen, in der er noch Teil des Schwarms ist) hängt vom Critter ab und ist bei dessen Beschreibung angegeben. Wenn keine Reichweite angegeben ist, verwenden Sie Blickfeld als Reichweite.
Sinnesverbindung;M;Einfach;Speziell;A;SG S. 229;während der Verbindung WIL+MAG;;SINNESVERBINDUNG Art: M Handlung: Einfach Reichweite: Speziell Dauer: Aufrechterhalten Ein Geist mit der Kraft Sinnesverbindung kann seinem Beschwörer Sinneseindrücke übermitteln (und umgekehrt). Der Beschwörer spürt (auf niedrigem Niveau) die Emotionen des Geistes und kann ihm einfache Befehle übermitteln. Außerdem kann der Beschwörer mit einer Einfachen Handlung die Sinne des Geistes benutzen. Er kann den Sinn auch mit einer Einfachen Handlung wechseln. Auf magische oder andere Weise verstärkte Sinne des Beschwörers können nicht durch die Sinne des Geistes benutzt werden. Die Reichweite der Kraft beträgt [Magie x 50] Meter. Wenn der Geist verletzt wird, während die Verbindung besteht, muss der Beschwörer Geistigem Schaden in Höhe des erlittenen Schadens des Geistes mit Willenskraft + Magie widerstehen. Der Zauberer kann keine Zauber auf Ziele wirken, die er nur mithilfe dieser Kraft wahrnimmt. Handelt es sich nicht um einen Geist, sondern um einen mundanen oder paranormalen Critter mit dieser Kraft, den der Charakter beherrscht, kann es sein, dass der Critter die Befehle des Charakters nicht versteht oder befolgt – vor allem dann nicht, wenn sie den Critter in Gefahr bringen. In diesem Fall kann eine Vergleichende Probe auf Intuition + Charisma des Charakters gegen Willenskraft + Intuition des Critter nötig sein, um den Critter dazu zu bringen, den Befehl zu befolgen.
Stille;P;Komplex;Speziell;A;SG S. 230;;;STILLE Art: P Handlung: Komplex Reichweite: Speziell Dauer: Aufrechterhalten Durch diese Kraft kann sich der Geist mit einer Kugel der Stille umgeben, deren Radius seinem Magieattribut in Metern entspricht. Geräusche aus diesem Bereich werden gedämpft, und Geräusche, die hineindringen, sind vom Geist und allen anderen schwerer zu hören. Wahrnehmungsproben mit dem Gehör und Schadenscodes von Schallangriffen erhalten einen Würfelpoolmalus in Höhe des Magieattributs des Geistes.
Stummelflügel;P;Auto;S;I;CR S. 198;;;STUMMELFLÜGEL Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Die meisten Drakes und viele Chimären, bei denen einer Spezies Flügel durch Gentechnik angezüchtet wurden, die sie eigentlich nicht hat, besitzen solche Flügel. Diese sind zwar nicht für echtes Fliegen zu gebrauchen, weil die Kreaturen nicht die nötige Muskulatur und ein zu hohes Gewicht haben. Sie haben allerdings ihre Vorteile. Sollte ein Wesen mit Stummelügeln abstürzen, kann es die Fallhöhe für die Berechnung des Fallschadens (SR5, S. 174) um 4 Meter verringern. Außerdem erhält das Wesen einen Würfelpoolbonus von +2 auf Proben zum Springen (SR5, S. 134).
Sturm;P;Komplex;Speziell;Speziell;SG S. 230;waffenl. Kampf+MAG ? Sperrfeuer;;STURM Art: P Handlung: Komplex Reichweite: Speziell Dauer: Speziell Ein Geist mit dieser Kraft kann einen gewaltigen, zerstörerischen Sturm im Zielgebiet entfachen. Eisregen, Blitze, Sturmböen und so weiter treffen das Gebiet. Der Radius der Wirkung beträgt [Magie des Geistes x 100] Meter. Der Geist legt eine Probe auf Waffenlosen Kampf + Magie [Kraftstufe] ab, und alle Charaktere, Kreaturen und Gegenstände werden behandelt, als befänden sie sich unter Sperrfeuer (SR5, S. 180). Der Grundschaden des Sturms beträgt (Kraftstufe)K.
Sturzangriff;P;Komplex;B;S;CR S. 199;;;STURZANGRIFF Art: P Handlung: Komplex Reichweite: B Dauer: Sofort Der Critter stürzt sich aus der Luft auf das Ziel und benutzt die Schwerkraft zur Unterstützung des Angriffs. Er führt einen normalen Angriff (meistens mit Waffenlosem Kampf) durch und addiert die Anzahl an Metern des Sturzes zu seinem normalen (meistens Waffenlosen) Schaden.
Substanzausstoß (Gerinnungshemmer);P;Auto;S;I;CR S. 199;speziell;;SUBSTANZAUSSTOSS (GERINNUNGSHEMMER) Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Die Angriffe des Critters haben eine gerinnungshemmende Wirkung, die das Ziel stark bluten lässt. Sobald das Opfer durch den Angriff eines solchen Critters Schaden erlitten hat, erleidet es danach durch die anhaltende Blutung pro Minute 2 Kästchen Geistigen Schaden, dem es nicht widerstehen kann. Die Blutung kann mithilfe eines Medkits (oder besserer medizinischer Ausrüstung) und einer erfolgreichen Probe auf Erste Hilfe + Logik [Geistig] (3) gestoppt werden.
Substanzausstoß (Seide);P;Komplex;S;P;CR S. 199;speziell;;SUBSTANZAUSSTOSS (SEIDE) Art: P Handlung: Komplex Reichweite: Selbst Dauer: Permanent Seide ist unglaublich fest – die Stahltrossen der Natur. Der Critter kann mit einer Komplexen Handlung Seide von einer Länge gleich seiner doppelten Körperlänge erzeugen und dann beliebig einsetzen. Die Seide kann um ein Ziel gewickelt (wozu eine Probe auf Waffenlosen Kampf nötig ist, wenn dieses sich noch bewegt), als Teil eines Netzes benutzt oder sogar auf Ziele oder Oberächen geworfen werden, um dort zu haften.
Suche;P;Komplex;Speziell;Speziell;SR5 S. 400;;;SUCHE Art: P Handlung: Komplex Reichweite: Speziell Dauer: Speziell Suchet, so werdet ihr finden, aber viel schneller geht es mit dieser Kraft. Um etwas Bestimmtes zu finden, legt der Critter eine Ausgedehnte Probe auf Magie + Intuition (5, 10 Minuten) ab. Eine Menge Dinge können die Suche erschweren – die entsprechenden Modifikatoren finden Sie in der Tabelle Suchmodifikatoren. Der Critter muss das Objekt, das er sucht, vor Beginn der Suche gesehen haben. Geister können nach allem suchen, von dem ihr Beschwörer ihnen ein geistiges Bild liefern kann. Critter, die den Astralraum betreten können, können diese Kraft auch dort einsetzen und müssen nicht materialisieren, um die Suche durchzuführen, auch wenn das Gesuchte sich in der physischen Welt beendet. SUCHMODIFIKATOREN SITUATION SCHWELLENWERTMODIFIKATOR Ziel ist mehr als 1 km entfernt +km Ziel ist unbelebtes Objekt oder Ort +5 SITUATION WÜRFELPOOLMODIFIKATOR Ziel durch Kraft Verschleierung verborgen –Magie des Verschleiernden Ziel hinter Manabarriere verborgen –Kraftstufe der Barriere
Telepathie;M;Einfach;BF;A;SG S. 230;;;TELEPATHIE Art: M Handlung: Einfach Reichweite: BF Dauer: Aufrechterhalten Mit dieser Kraft kann ein Geist eine telepathische Verbindung mit einer anderen Kreatur mit der Kraft Bewusstsein aufrechterhalten. Er kann gleichzeitig eine Anzahl von Verbindungen in Höhe seines Magieattributs aufrechterhalten. Wenn mehrere Ziele mit Bewusstsein mit demselben Geist auf diese Weise verbunden sind, können sie auch miteinander kommunizieren
