Name;KATEGORIE;ART;REICHWEITE;SCHADEN;DAUER;ENTZUG;SEITE;Widerstand;Elementarschaden;Erläuterungen
Hellsicht (passiv, gerichtet);Wahrnehmungszauber;M;F*MAG;;A;F - 3;SG S. 136;;;"HELLSICHT (PASSIV, GERICHTET) Art: M Reichweite: B Dauer: A Entzug: KS - 3 Das Ziel kann entfernte Dinge sehen, als wäre es innerhalb der Sinnesreichweite vor Ort. Der Sichtpunkt kann innerhalb der Reichweite des Zaubers mit einer Komplexen Handlung bewegt werden. Solange das Ziel Hellsicht einsetzt, kann es weder seine normale Sicht noch astrale Wahrnehmung benutzen. Der Zauber überträgt keine Geräusche, nur optische Eindrücke; die Sicht pro tiert nicht von Sichtverbesserungen. Man kann auf Ziele, die man mit Hellsicht wahrnimmt, keine Zauber wirken."
Impuls (Umgebung, Flächenwirkung);Manipulationszauber;P;BF (F);;S;F + 3;SG S. 126;Objektwiderst. SR5: S. 290;;IMPULS (UMGEBUNG, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Dauer: S Entzug: KS + 3 Dieser Zauber erzeugt einen kurzen, hochenergetischen elektromagnetischen Impuls, der vom Zauberer ausgeht und elektronische Systeme schädigt. Der Zauber löscht gewöhnliche RFID-Chips und kann auch andere nicht optische oder nicht abgeschirmte Elektronik innerhalb des Wirkungsbereichs schädigen. Die meisten modernen Elektronikbauteile sind optisch, aber viele Geräte haben noch Teile, die betroffen sein können. Auch altertümliche Geräte und Stromversorgungen können betroffen sein. Alle solchen Geräte im Wirkungsbereich sind betroffen, egal wer sie besitzt. Der Zauberer muss eine erfolgreiche Spruchzaubereiprobe gegen die Objektwiderstandsprobe eines Gerätes ablegen, damit es dem Zauber zum Opfer fällt. Betroffene Systeme können nach Maßgabe des Spielleiters Datenverlust, Stromausfälle oder Totalschäden erleiden. Die Anzahl der Nettoerfolge bei der Spruchzaubereiprobe legt das Ausmaß des Schadens fest. Außerdem unterbricht der Zauber kurzzeitig Funk- und WiFi-Empfang.
Incubus (Realistic, Multi-Sense);Illusionszauber;M;BF;;A;F-3;CA S. 153;;;
Individuum Entdecken (aktiv, ungerichtet);Wahrnehmungszauber;M;F*MAG;;A;F - 3;SG S. 136;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;INDIVIDUUM ENTDECKEN (AKTIV, UNGERICHTET) Art: M Reichweite: B Dauer: A Entzug: KS - 3 Das Ziel kann die Anwesenheit einer bestimmten Person innerhalb der Sinnesreichweite feststellen. Die Person muss beim Wirken des Zaubers angegeben werden. Es muss sich um jemanden handeln, den das Ziel kennt oder zumindest einmal getroffen hat.
Insektenvernichter (Umgebung, Flächenwirkung);Manipulationszauber;P;BF (F);;A;F + 1;SG S. 126;;;INSEKTENVERNICHTER (UMGEBUNG, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Dauer: A Entzug: KS + 1 Dieser Zauber ist eine Variante des Zaubers Manabarriere (S. 128), die speziell auf Insektengeister und deren Kräfte ausgelegt ist. Nach dem Fall Chicagos wurde dieser Zauber recht populär, als die Bedrohung durch die „Bugs“ immer mehr zunahm. Wenn er auf der physischen Ebene gewirkt wird, behindert der Zauber Insektengeister, indem er eine Barriere aus Mana bildet, die ihnen „elektrische Schläge“ verpasst. Diese Barriere verursacht Körperlichen Schaden in Höhe ihrer Kraftstufe. Ansonsten funktioniert Insektenvernichter genauso wie der Zauber Manabarriere. Dieser Zauber verursacht keinen Schaden bei anderen Geisterarten oder anderen astralen Gestalten.
Interferenz (Umgebung, Flächenwirkung);Manipulationszauber;P;BF (F);;A;F - 1;SG S. 127;;;INTERFERENZ (UMGEBUNG, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Dauer: A Entzug: KS - 1 Dieser Zauber erzeugt ein Sperrfeuer aus Rauschen im elektromagnetischen Spektrum, das Funk- und andere drahtlose Signale stört. Jeder Erfolg bei der Spruchzaubereiprobe erhöht das Rauschen im Wirkungsbereich um 1 und wirkt damit wie ein Störsender (SR5, S. 445). Die persönliche Ausrüstung des Zauberers ist leider nicht immun gegen diesen Zauber.
Inzision (Physical);Manipulationszauber;P;BF (F);;A;F-2;BB S. 21;;;
Isolierung (Physical, Environmental);Manipulationszauber;P;BF (F);;A;F-2;SSP S. 21;;;
Kampfsinn (passiv, übersinnlich);Wahrnehmungszauber;M;F*MAG;;A;F;SG S. 136;;;KAMPFSINN (PASSIV, ÜBERSINNLICH) Art: M Reichweite: B Dauer: A Entzug: KS Das Ziel kann unterbewusst Kämpfe und andere gefährliche Situationen innerhalb der Sinnes reich weite analysieren. Es nimmt Ereignisse bereits Sekundenbruch teile vor ihrem Eintreten wahr. Jeder Erfolg bei der Spruchzaubereiprobe verleiht dem Ziel +1 Würfel für Überraschungsproben und für Verteidigungsproben gegen Nah- und Fernkampfangriffe, solange der Zauber aufrechterhalten wird. Während dieser Zauber aufrechterhalten wird, darf das Ziel vor einer möglichen Überraschungssituation (SR5, S. 191) immer eine Wahrnehmungsprobe ablegen und hat den Vorteil, schon alarmiert zu sein, wenn die Probe gelingt.
Katalog (aktiv, ungerichtet);Wahrnehmungszauber;P;F*MAG;;A;F - 3;SG S. 136;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;KATALOG (AKTIV, UNGERICHTET) Art: P Reichweite: B Dauer: A Entzug: KS - 3 Mit diesem Zauber kann der Zauberer einem Ziel auf mystische Weise die Fähigkeit verleihen, über alle leblosen Gegenstände innerhalb des Wirkungsbereichs eine umfassende, geordnete Liste anzulegen. Das Ziel kann eine Liste über die Anzahl und Art der Gegenstände aufschreiben oder diktieren, solange der Zauberer den Objektwiderstand eines Gegenstands (SR5, S. 290) als Schwellenwert überwindet. Je mehr Nettoerfolge bei der Spruchzaubereiprobe erzielt werden, desto höher der Detailgrad der Beschreibungen auf der Liste. Gegenstände in dem Bereich, die das Ziel nicht per Sicht erkennen würde, werden als „unbekannt“ vermerkt. Das Ziel muss den Zielbereich des Zaubers berühren.
Klammer (Transformation);Manipulationszauber;P;BF;;A;F - 2;SG S. 127;;;KLAMMER (TRANSFORMATION) Art: P Reichweite: BF Dauer: A Entzug: KS - 2 NETZ (TRANSFORMATION, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Dauer: A Entzug: KS - 1 MANAKLAMMER (TRANSFORMATION) Art: M Reichweite: BF Dauer: A Entzug: KS - 2 MANANETZ (TRANSFORMATION, FLÄCHENWIRKUNG) Art: M Reichweite: BF (F) Dauer: A Entzug: KS - 1 Diese Zauber werden benutzt, um Ziele mit unsichtbaren Fesseln magischer Energie an der Bewegung zu hindern. Jeder Nettoerfolg bei der Spruchzaubereiprobe senkt die Geschicklichkeit des Opfers um 1. Wenn die Geschicklichkeit auf 0 gesenkt wird, ist das Ziel gefesselt und bewegungsunfähig. Während es gefesselt ist, darf es versuchen, kurze Distanzen durch Kriechen oder Hüpfen (mit einem Viertel der normalen Bewegungsrate) zu überwinden. Gefesselte Ziele dürfen sich gegen Angriffe wehren, aber sie erhalten dafür einen Würfelpoolmalus in Höhe der Nettoerfolge bei der Spruchzaubereiprobe. Ein gefesseltes Ziel kann versuchen, sich zu befreien, indem es eine Komplexe Handlung aufwendet und eine Vergleichende Probe auf Konstitution + Stärke gegen die Kraftstufe des Zaubers x 2 ablegt. Klammer wirkt gegen ein einzelnes Ziel, Netz ist ein Flächenzauber. Diese Zauber können auch gegen unbelebte Objekte wie Drohnen (die den Zaubern mit ihrem Objektwiderstand widerstehen) gewirkt werden, um bewegliche Teile zu behindern, obwohl das Drohnen oder Fahrzeuge, je nach ihrer Fortbewegungsmethode, vielleicht nicht aufhält. Manaklammer und Mananetz wirken nur gegen lebende und astrale Ziele. Bei astralen Gestalten wird statt der Geschicklichkeit die Logik gesenkt. Astrale Gestalten legen für ihren Befreiungsversuch eine Vergleichende Probe auf Willenskraft + Charisma gegen Kraftstufe x 2 ab. Manaklammer wirkt gegen ein einzelnes lebendes oder magisches Ziel, Mananetz ist ein Flächenzauber, der gegen solche Ziele wirkt.
Klebestreifen (Transformation, Flächenwirkung);Manipulationszauber;P;BF (F);;P;F - 1;SG S. 127;Objektwiderst. SR5: S. 290;;KLEBSTOFF (TRANSFORMATION) Art: P Reichweite: BF Dauer: P Entzug: KS - 3 KLEBESTREIFEN ((TRANSFORMATION, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Dauer: P Entzug: KS - 1 Mit diesem Zauber kann der Zauberer ein Ziel an einer Ober äche festkleben, mit der es gerade in Kontakt ist. Das Ziel muss die Ober äche zum Zeitpunkt des Zauberwirkens berühren. Der Zauberer muss eine erfolgreiche Spruchzaubereiprobe gegen die Objektwiderstandsprobe des Gegenstands ablegen, an den das Ziel, geklebt werden soll, um die mystische Verbindung herzustellen. Das Lösen des Ziels von der Ober äche erfordert eine Komplexe Handlung und eine Vergleichende Probe zwischen Stärke + Konstitution dessen, der sie zu lösen versucht, und der Kraftstufe des Zaubers x 2. Wenn Ziel bzw. Ober äche eine Konstitution bzw. Strukturstufe haben, die niedriger ist als die Kraftstufe des Zaubers, reißt bei einem Lösen die Haut bzw. Ober äche, was Körperlichen Schaden in Höhe der Differenz zwischen Konstitution/Strukturstufe und Kraftstufe des Zaubers verursacht. Klebstoff wirkt gegen ein einzelnes Ziel, Klebestreifen ist ein Flächenzauber.
Klebstoff (Transformation);Manipulationszauber;P;BF;;P;F - 3;SG S. 127;Objektwiderst. SR5: S. 290;;KLEBSTOFF (TRANSFORMATION) Art: P Reichweite: BF Dauer: P Entzug: KS - 3 KLEBESTREIFEN ((TRANSFORMATION, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Dauer: P Entzug: KS - 1 Mit diesem Zauber kann der Zauberer ein Ziel an einer Ober äche festkleben, mit der es gerade in Kontakt ist. Das Ziel muss die Ober äche zum Zeitpunkt des Zauberwirkens berühren. Der Zauberer muss eine erfolgreiche Spruchzaubereiprobe gegen die Objektwiderstandsprobe des Gegenstands ablegen, an den das Ziel, geklebt werden soll, um die mystische Verbindung herzustellen. Das Lösen des Ziels von der Ober äche erfordert eine Komplexe Handlung und eine Vergleichende Probe zwischen Stärke + Konstitution dessen, der sie zu lösen versucht, und der Kraftstufe des Zaubers x 2. Wenn Ziel bzw. Ober äche eine Konstitution bzw. Strukturstufe haben, die niedriger ist als die Kraftstufe des Zaubers, reißt bei einem Lösen die Haut bzw. Ober äche, was Körperlichen Schaden in Höhe der Differenz zwischen Konstitution/Strukturstufe und Kraftstufe des Zaubers verursacht. Klebstoff wirkt gegen ein einzelnes Ziel, Klebestreifen ist ein Flächenzauber.
Kochendes Blut (Blut, Direkt, Elementar);Kampfzauber;P;BF;K;S;F - 2;VK S. 124;KON+Antimagie;Feuerschaden SR5: S. 174;KOCHENDES BLUT (BLUT, DIREKT, ELEMENTAR) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 2 Dieser Zauber verursacht bei seinem Ziel Verbrennungen von innen her, indem er das Blut im Körper des Ziels in extreme Schwingung versetzt, und umgeht dadurch Panzerung. Dieser Zauber verursacht Feuerschaden (SR5, S. 174), und ihm wird mit Konstitution (+ Antimagie) widerstanden. Wenn das Ziel durch vorher erlittenen Körperlichen Schaden offene Wunden hat, entzündet sich das Blut bei Kontakt mit der Luft und kann entammbare Materialien entzünden, die es berührt. Auf Ziele ohne Blutkreislauf hat der Zauber keine Wirkung. FEUERSCHADEN Feuer verursacht Körperlichen Schaden und kann Dinge entzünden. Um zu bestimmen, ob etwas zu brennen beginnt, würfeln Sie mit Panzerungswert + Feuerresistenz - Feuer-DK (s. Tabelle Durchschlagskraft von Feuer, S. 175). Der Schwellenwert dieser Probe ergibt sich durch die Anzahl der Nettoerfolge des Feuerangriffs. Wenn der Gegenstand gewinnt, brennt er (vorerst) nicht. Zusatzpanzerung ist von dieser Probe ausgenommen, aber der Spielleiter kann, wenn es ihm passend erscheint, auch dafür eine Probe verlangen. Wenn etwas zu brennen beginnt, hat das Feuer zu Anfang einen Schadenscode von 3K. Dieser Schaden wird am Ende jeder Kampfrunde verursacht, und der Schadenscode steigt zu Beginn jeder folgenden Kampfrunde um 1, bis der Gegenstand zerstört ist oder das Feuer gelöscht wird. Man kann Feuer auf verschiedene Arten bekämpfen (Wasser, Ersticken usw.), was durch eine Probe auf Geschicklichkeit + Intuition erfolgt. Jeder Erfolg bei dieser Probe senkt den Schadenscode des Feuers um 1. Solange aber das Feuer noch brennt, kann es Entflammbares in der Umgebung (wie Möbel, Fahrzeuge oder Pflanzen) entzünden. Außerdem zerstört das Feuer langsam die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis es gelöscht ist. | FEUERSCHADEN Feuer verursacht Körperlichen Schaden und kann Dinge entzünden. Um zu bestimmen, ob etwas zu brennen beginnt, würfeln Sie mit Panzerungswert + Feuerresistenz - Feuer-DK (s. Tabelle Durchschlagskraft von Feuer, S. 175). Der Schwellenwert dieser Probe ergibt sich durch die Anzahl der Nettoerfolge des Feuerangriffs. Wenn der Gegenstand gewinnt, brennt er (vorerst) nicht. Zusatzpanzerung ist von dieser Probe ausgenommen, aber der Spielleiter kann, wenn es ihm passend erscheint, auch dafür eine Probe verlangen. Wenn etwas zu brennen beginnt, hat das Feuer zu Anfang einen Schadenscode von 3K. Dieser Schaden wird am Ende jeder Kampfrunde verursacht, und der Schadenscode steigt zu Beginn jeder folgenden Kampfrunde um 1, bis der Gegenstand zerstört ist oder das Feuer gelöscht wird. Man kann Feuer auf verschiedene Arten bekämpfen (Wasser, Ersticken usw.), was durch eine Probe auf Geschicklichkeit + Intuition erfolgt. Jeder Erfolg bei dieser Probe senkt den Schadenscode des Feuers um 1. Solange aber das Feuer noch brennt, kann es Entflammbares in der Umgebung (wie Möbel, Fahrzeuge oder Pflanzen) entzünden. Außerdem zerstört das Feuer langsam die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis es gelöscht ist.
Komet (Indirekt, Elementar, Flächenwirkung);Kampfzauber;P;BF (F);K;S;F;VK S.  50;REA+INT? KON+Panz/DK-Kraftstufe;Feuer- und Säureschaden SR5: S. 174-175;"KOMET (INDIREKT, ELEMENTAR, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS Dieser Zauber erzeugt eine ammende Kugel aus Erde, die über dem Zielgebiet erscheint und mit einer gewaltigen Explosion einschlägt. Das schmelzende Gestein verursacht gleichzeitig Feuer- und Säureschaden (SR5, S. 174-175). Nur die Nebenwirkungen, nicht der Schaden selbst, können durch Feuerresistenz bzw. Chemische Isolation/Versiegelung gelindert werden. Der Schadenscode eines erfolgreich gewirkten Indirekten Kampfzaubers entspricht der Kraftstufe + Nettoerfolge. Indirekte Kampfzauber mit Flächenwirkung bewegen sich vom Magier zum Explosionspunkt hin und „explodieren“ dort. Die Probe wird ähnlich wie beim Angriff mit Granaten (S. 182) abgelegt: Man würfelt mit Spruchzauberei + Magie [Kraftstufe] (3) mit einer Abweichung von 2W6 Metern. Im Gegensatz zu Granaten erhöhen Nettoerfolge (über dem Schwellenwert von 3) den Schadenscode des Zaubers; wird der Schwellenwert nicht erreicht, geht der Zauber immer noch los, aber die Erfolge reduzieren die Abweichung um 1 Meter pro Erfolg. SÄURESCHADEN Säure verursacht Körperlichen Schaden. Zusätzlich zum normalen Schaden senkt Säure auch den Panzerungswert jeder Panzerung, die sie trifft, um 1. Wenn die Säure nicht abgewaschen wird (oder sich mit dem Ende des Zauberspruchs, der sie erschaffen hat, wieder in Mana auflöst), ätzt sie weiter. Am Ende jeder Kampfrunde sinkt der Schadenscode der Säure um 1 und verursacht dann den gesenkten Schaden. Außerdem ätzt sich die Säure weiter durch die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis sie abgewaschen wird, mit Ende des Zaubers verschwindet oder ihr Schadenscode auf 0 gesunken ist. Die Senkung des Panzerungswertes ist permanent und sollte zuerst getragene Panzerung betreffen, kann aber auch auf Zusatzpanzerung (wie Helme oder Schilde) angewandt werden, wenn der Spielleiter das so entscheidet. Nach Maßgabe des Spielleiters kann Säure außerdem für Leichten Rauch in einem Bereich um das Ziel herum sorgen und den entsprechenden Sichtmodifikator verursachen. FEUERSCHADEN Feuer verursacht Körperlichen Schaden und kann Dinge entzünden. Um zu bestimmen, ob etwas zu brennen beginnt, würfeln Sie mit Panzerungswert + Feuerresistenz - Feuer-DK (s. Tabelle Durchschlagskraft von Feuer, S. 175). Der Schwellenwert dieser Probe ergibt sich durch die Anzahl der Nettoerfolge des Feuerangriffs. Wenn der Gegenstand gewinnt, brennt er (vorerst) nicht. Zusatzpanzerung ist von dieser Probe ausgenommen, aber der Spielleiter kann, wenn es ihm passend erscheint, auch dafür eine Probe verlangen. Wenn etwas zu brennen beginnt, hat das Feuer zu Anfang einen Schadenscode von 3K. Dieser Schaden wird am Ende jeder Kampfrunde verursacht, und der Schadenscode steigt zu Beginn jeder folgenden Kampfrunde um 1, bis der Gegenstand zerstört ist oder das Feuer gelöscht wird. Man kann Feuer auf verschiedene Arten bekämpfen (Wasser, Ersticken usw.), was durch eine Probe auf Geschicklichkeit + Intuition erfolgt. Jeder Erfolg bei dieser Probe senkt den Schadenscode des Feuers um 1. Solange aber das Feuer noch brennt, kann es Entflammbares in der Umgebung (wie Möbel, Fahrzeuge oder Pflanzen) entzünden. Außerdem zerstört das Feuer langsam die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis es gelöscht ist. | FEUERSCHADEN Feuer verursacht Körperlichen Schaden und kann Dinge entzünden. Um zu bestimmen, ob etwas zu brennen beginnt, würfeln Sie mit Panzerungswert + Feuerresistenz - Feuer-DK (s. Tabelle Durchschlagskraft von Feuer, S. 175). Der Schwellenwert dieser Probe ergibt sich durch die Anzahl der Nettoerfolge des Feuerangriffs. Wenn der Gegenstand gewinnt, brennt er (vorerst) nicht. Zusatzpanzerung ist von dieser Probe ausgenommen, aber der Spielleiter kann, wenn es ihm passend erscheint, auch dafür eine Probe verlangen. Wenn etwas zu brennen beginnt, hat das Feuer zu Anfang einen Schadenscode von 3K. Dieser Schaden wird am Ende jeder Kampfrunde verursacht, und der Schadenscode steigt zu Beginn jeder folgenden Kampfrunde um 1, bis der Gegenstand zerstört ist oder das Feuer gelöscht wird. Man kann Feuer auf verschiedene Arten bekämpfen (Wasser, Ersticken usw.), was durch eine Probe auf Geschicklichkeit + Intuition erfolgt. Jeder Erfolg bei dieser Probe senkt den Schadenscode des Feuers um 1. Solange aber das Feuer noch brennt, kann es Entflammbares in der Umgebung (wie Möbel, Fahrzeuge oder Pflanzen) entzünden. Außerdem zerstört das Feuer langsam die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis es gelöscht ist. SÄURESCHADEN Säure verursacht Körperlichen Schaden. Zusätzlich zum normalen Schaden senkt Säure auch den Panzerungswert jeder Panzerung, die sie trifft, um 1. Wenn die Säure nicht abgewaschen wird (oder sich mit dem Ende des Zauberspruchs, der sie erschaffen hat, wieder in Mana auflöst), ätzt sie weiter. Am Ende jeder Kampfrunde sinkt der Schadenscode der Säure um 1 und verursacht dann den gesenkten Schaden. Außerdem ätzt sich die Säure weiter durch die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis sie abgewaschen wird, mit Ende des Zaubers verschwindet oder ihr Schadenscode auf 0 gesunken ist. Die Senkung des Panzerungswertes ist permanent und sollte zuerst getragene Panzerung betreffen, kann aber auch auf Zusatzpanzerung (wie Helme oder Schilde) angewandt werden, wenn der Spielleiter das so entscheidet. Nach Maßgabe des Spielleiters kann Säure außerdem für Leichten Rauch in einem Bereich um das Ziel herum sorgen und den entsprechenden Sichtmodifikator verursachen."
Konservieren (Transformation);Manipulationszauber;P;B;;S;F - 3;SG S. 127;;;KONSERVIEREN (TRANSFORMATION) Art: P Reichweite: B Dauer: S Entzug: KS - 3 Dieser Zauber kann organische Materie vor Verwesung, Austrocknung oder Zersetzung bewahren. Man kann damit so mundane Dinge wie Nahrungsmittel und Getränke konservieren, aber meist wird der Zauber von magischen Ermittlern verwendet, um Leichen bis zur Autopsie vor Verwesung zu bewahren oder Gewebeproben, Haut oder Haare von einem Tatort zu erhalten und als Materielle Verbindung (SR5, S. 296) zu benutzen. Der Zeitraum, für den das Material in seinem gegenwärtigen Zustand bleibt, ist von der Anzahl der Erfolge bei der Spruchzaubereiprobe abhängig: Multiplizieren Sie die Anzahl der Erfolge + 1 mit der Zeit, die das Material normalerweise erhalten bliebe. So würden etwa 4 Erfolge dazu führen, dass das Material fünfmal so lange hält wie üblich
Kralle (Indirekt);Kampfzauber;P;BF;K;S;F;VK S.  50;REA+INT? KON+Panz/DK-Kraftstufe;;KRALLE (INDIREKT) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS ZERFETZEN (INDIREKT, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS + 3 Die Zauber Kralle und Zerfetzen formen das Mana zu scharfen Splittern, die sich wie Krallen (oder Klauen, Stachel, Nägel usw.) in das Ziel bohren und Panzerung und Fleisch zerreißen. Der Schadenscode dieser Zauber ist um 2 gesenkt, aber die DK wird um 4 verbessert.
Krankheit Heilen (Essenz);Heilzauber;M;B;;P;F - 4;SG S. 111;;;KRANKHEIT HEILEN (ESSENZ) Art: M Reichweite: B Dauer: P Entzug: KS - 4 Dieser Zauber wird irgendwann nach einer Infektion auf einen Patienten gewirkt, um ihm beim Überwinden der Krankheit zu helfen. Der in zierte Charakter erhält für seine Krankheitswiderstandsprobe(n) zusätzliche Würfel in Höhe der Erfolge des Zauberers, bis er sich erholt (oder stirbt). Allerdings wird durch diesen Zauber kein Schaden geheilt, den die Krankheit bereits verursacht hat (dazu benötigt man den Zauber Heilen).
Krankheit Hervorrufen (Negative, Essence);Heilzauber;M;BF (F);;P;F-3;SSP S. 19;;;
Kugelblitz (Indirekt, Elementar, Flächenwirkung);Kampfzauber;P;BF (F);K;S;F - 1;SG S. 118;REA+INT?KON+Panz/DK-KS?Granate;Elektrizitätsschaden SR5: S. 173;"BLITZSTRAHL (INDIREKT, ELEMENTAR) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 KUGELBLITZ (INDIREKT, ELEMENTAR) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS - 1 Diese Zauber erzeugen elektrische Entladungen, die Elektrizitätsschaden (S. 173) verursachen. Blitzstrahl trifft ein einzelnes Ziel. Kugelblitz ist ein Flächenzauber. Der Schadenscode eines erfolgreich gewirkten Indirekten Kampfzaubers entspricht der Kraftstufe + Nettoerfolge. Indirekte Kampfzauber mit Flächenwirkung bewegen sich vom Magier zum Explosionspunkt hin und „explodieren“ dort. Die Probe wird ähnlich wie beim Angriff mit Granaten (S. 182) abgelegt: Man würfelt mit Spruchzauberei + Magie [Kraftstufe] (3) mit einer Abweichung von 2W6 Metern. Im Gegensatz zu Granaten erhöhen Nettoerfolge (über dem Schwellenwert von 3) den Schadenscode des Zaubers; wird der Schwellenwert nicht erreicht, geht der Zauber immer noch los, aber die Erfolge reduzieren die Abweichung um 1 Meter pro Erfolg. ELEKTRIZITÄTSSCHADEN Es gibt eine Fülle von nichttödlichen Waffen, die ihr Ziel mit einem Stromschlag außer Gefecht setzen sollen, wie etwa Betäubungsschlagstöcke, Taser oder Schockhände. Diese Waffen treffen ihr Ziel bei Kontakt mit elektrischer statt kinetischer Energie. Zauber und Critterkräfte wie Blitzstrahl oder Energieaura verursachen ähnliche Wirkungen. Elektrizitätsschaden ist je nach Quelle und/oder Ziel Körperlicher oder Geistiger Schaden. Die Panzerungsmodifikation Elektrische Isolierung (S. 441) addiert bei Elektrizitätsschaden ihre Stufe zum Panzerungswert. Der Spielleiter kann auch entscheiden, dass noch andere Faktoren - wie etwa erhöhte Leitfähigkeit, wenn das Ziel im Wasser steht - Einfluss auf den Schaden haben. Außerdem können elektrische Angriffe das Ziel auch betäuben oder lähmen, aber nur, wenn überhaupt Schaden verursacht wird. Nebenwirkungen einer Verletzung durch Elektrizitätsschaden umfassen einen Würfelpoolmodifikator von -1 auf alle Proben (außer Schadenswiderstandsproben) für 1 Kampfrunde und eine sofortige Senkung des Initiativeergebnisses um 5. Diese Nebenwirkungen wirken durch mehrfache Angriffe nicht kumulativ, aber die Dauer des Würfelpoolmodifikators wird durch zusätzliche erfolgreiche Angriffe, die Elektrizitätsschaden verursachen, um 1 Kampfrunde pro Angriff verlängert. Wenn das Initiativeergebnis des Charakters auf 0 oder darunter fällt, verliert er seine letzte Handlung. Wenn das Initiativeergebnis bereits auf 0 oder darunter war, kommt die Senkung zu Beginn der nächsten Kampfrunde zum Tragen. Elektronische Geräte und Drohnen können ebenfalls Elektrizitätsschaden erleiden. Sie erleiden keinen Geistigen Schaden, also wird jeder Elektrizitätsschaden bei ihnen als Körperlicher Schaden gewertet. Sie widerstehen dem Schaden wie üblich und erleiden eine Nebenwirkung, wenn sie auch nur ein Kästchen Schaden erhalten. Die Nebenwirkung bei elektronischen Geräten und Drohnen besteht in Kurzschlüssen und Überladung. Regeltechnisch wird das durch zusätzlichen Matrixschaden (siehe S. 225) in Höhe der (abgerundeten) Hälfte des Körperlichen Schadens ausgedrückt. Fahrzeuge können durch Elektrizitätsschaden beschädigt werden, erleiden aber keine Nebenwirkungen. Man kann aber per Ziel Ansagen (S. 166) auf elektronische Systeme eines Fahrzeugs zielen. | ELEKTRIZITÄTSSCHADEN Es gibt eine Fülle von nichttödlichen Waffen, die ihr Ziel mit einem Stromschlag außer Gefecht setzen sollen, wie etwa Betäubungsschlagstöcke, Taser oder Schockhände. Diese Waffen treffen ihr Ziel bei Kontakt mit elektrischer statt kinetischer Energie. Zauber und Critterkräfte wie Blitzstrahl oder Energieaura verursachen ähnliche Wirkungen. Elektrizitätsschaden ist je nach Quelle und/oder Ziel Körperlicher oder Geistiger Schaden. Die Panzerungsmodifikation Elektrische Isolierung (S. 441) addiert bei Elektrizitätsschaden ihre Stufe zum Panzerungswert. Der Spielleiter kann auch entscheiden, dass noch andere Faktoren - wie etwa erhöhte Leitfähigkeit, wenn das Ziel im Wasser steht - Einfluss auf den Schaden haben. Außerdem können elektrische Angriffe das Ziel auch betäuben oder lähmen, aber nur, wenn überhaupt Schaden verursacht wird. Nebenwirkungen einer Verletzung durch Elektrizitätsschaden umfassen einen Würfelpoolmodifikator von -1 auf alle Proben (außer Schadenswiderstandsproben) für 1 Kampfrunde und eine sofortige Senkung des Initiativeergebnisses um 5. Diese Nebenwirkungen wirken durch mehrfache Angriffe nicht kumulativ, aber die Dauer des Würfelpoolmodifikators wird durch zusätzliche erfolgreiche Angriffe, die Elektrizitätsschaden verursachen, um 1 Kampfrunde pro Angriff verlängert. Wenn das Initiativeergebnis des Charakters auf 0 oder darunter fällt, verliert er seine letzte Handlung. Wenn das Initiativeergebnis bereits auf 0 oder darunter war, kommt die Senkung zu Beginn der nächsten Kampfrunde zum Tragen. Elektronische Geräte und Drohnen können ebenfalls Elektrizitätsschaden erleiden. Sie erleiden keinen Geistigen Schaden, also wird jeder Elektrizitätsschaden bei ihnen als Körperlicher Schaden gewertet. Sie widerstehen dem Schaden wie üblich und erleiden eine Nebenwirkung, wenn sie auch nur ein Kästchen Schaden erhalten. Die Nebenwirkung bei elektronischen Geräten und Drohnen besteht in Kurzschlüssen und Überladung. Regeltechnisch wird das durch zusätzlichen Matrixschaden (siehe S. 225) in Höhe der (abgerundeten) Hälfte des Körperlichen Schadens ausgedrückt. Fahrzeuge können durch Elektrizitätsschaden beschädigt werden, erleiden aber keine Nebenwirkungen. Man kann aber per Ziel Ansagen (S. 166) auf elektronische Systeme eines Fahrzeugs zielen."
Kühlen (Direct);Kampfzauber;P;BF;G;Apez.;F-1;SSP S. 16;;;
